year,fiscal_side,momentti_tunnusp,momentti_snimi,hallinnonala,actual_eur,has_structural_guardrail,structural_relation_types,source_rows,observed_months,data_as_of,is_complete_year,coverage_status
2007,expense,28.07.95.,Valtion maksettavaksi tulevat korot liikaa saaduista ennakkotuloista viimeisenä eläkelaitoksena,Valtiovarainministeriön hallinnonala,5909214.03,false,,2,12,2007-12-01,true,complete
2007,expense,28.18.21.,Verohallinnon toimintamenot,Valtiovarainministeriön hallinnonala,359429612.51,false,,1383,12,2007-12-01,true,complete
2007,expense,28.39.30.,Ahvenanmaan tasoitusmaksu,Sisäasiainministeriön hallinnonala,196959812.94,true,moved,15,12,2007-12-01,true,complete
2007,expense,28.39.31.,Verohyvitys,Sisäasiainministeriön hallinnonala,35060129,false,,3,12,2007-12-01,true,complete
2007,expense,28.39.40.,Arpajaisveron tuoton palauttaminen Ahvenanmaan maakunnalle,Sisäasiainministeriön hallinnonala,6067153.04,true,moved,3,12,2007-12-01,true,complete
2007,expense,28.40.21.,Tullilaitoksen toimintamenot,Sisäasiainministeriön hallinnonala,145310103.23,false,,830,12,2007-12-01,true,complete
2007,expense,28.40.70.,Kaluston hankinta,Valtiovarainministeriön hallinnonala,1570212.69,false,,39,12,2007-12-01,true,complete
2007,expense,28.40.71.,Toimistoautomaatiojärjestelmän hankinta,Valtiovarainministeriön hallinnonala,4653716.31,false,,94,12,2007-12-01,true,complete
2007,expense,28.52.21.,Tilastokeskuksen toimintamenot,Valtiovarainministeriön hallinnonala,42763996.32,false,,1181,12,2007-12-01,true,complete
2007,expense,28.80.21.,Henkilöstön sopeuttamisen tukeminen,Kauppa- ja teollisuusministeriön hallinnonala,199685.61,false,,76,12,2007-12-01,true,complete
2007,expense,28.80.23.,Työsuojelun edistäminen,Valtiovarainministeriön hallinnonala,1096000,false,,19,12,2007-12-01,true,complete
2007,expense,28.80.24.,Työhyvinvoinnin tuki,Kauppa- ja teollisuusministeriön hallinnonala,596849.41,false,,393,12,2007-12-01,true,complete
2007,expense,28.80.25.,Valtion henkilöstöjärjestelyt,Valtiovarainministeriön hallinnonala,379089.65,false,,42,12,2007-12-01,true,complete
2007,expense,28.80.26.,EU-puheenjohtajuus,Kauppa- ja teollisuusministeriön hallinnonala,2904141.51,false,,363,12,2007-12-01,true,complete
2007,expense,28.80.27.,Tuottavuuden edistäminen,Opetus- ja kulttuuriministeriön hallinnonala,13369564.13,false,,146,12,2007-12-01,true,complete
2007,expense,28.80.60.,Valtion maksu Koulutusrahastosta johtuvista menoista,Valtiovarainministeriön hallinnonala,236904,false,,2,12,2007-12-01,true,complete
2007,expense,28.81.01.,Euroopan unionin kansallisten asiantuntijoiden palkkaukset,Kauppa- ja teollisuusministeriön hallinnonala,1052724.29,false,,422,12,2007-12-01,true,complete
2007,expense,28.81.02.,Eräät muut palkat ja virkasuhteen ehtoja koskevat päätökset,,0,false,,1,12,2007-12-01,true,complete
